Год;Месяц;День_недели;Средняя_выручка_за_день
2024;Январь;ПН;35995,43
2024;Январь;ВТ;33153,27
2024;Январь;СР;32492,35
2024;Январь;ЧТ;38100,99
2024;Январь;ПТ;36744,05
2024;Январь;СБ;40826,54
2024;Январь;ВС;36492,92
2024;Февраль;ПН;30993,12
2024;Февраль;ВТ;24867,52
2024;Февраль;СР;31372,38
2024;Февраль;ЧТ;31305,81
2024;Февраль;ПТ;28893,89
2024;Февраль;СБ;29603,63
2024;Февраль;ВС;27589,83
2024;Март;ПН;22637,93
2024;Март;ВТ;12523,62
2024;Март;СР;4368,29
2024;Март;ЧТ;3201,07
2024;Март;ПТ;14407,13
2024;Март;СБ;9692,62
2024;Март;ВС;19725,69
2024;Апрель;ПН;29876,77
2024;Апрель;ВТ;29461,89
2024;Апрель;СР;28128,68
2024;Апрель;ЧТ;31949,72
2024;Апрель;ПТ;31612,83
2024;Апрель;СБ;34000,29
2024;Апрель;ВС;30444,19
2024;Май;ПН;38962,38
2024;Май;ВТ;42297,39
2024;Май;СР;42053,96
2024;Май;ЧТ;39799,46
2024;Май;ПТ;43891,73
2024;Май;СБ;42411,87
2024;Май;ВС;32294,10
2024;Июнь;ПН;38483,70
2024;Июнь;ВТ;37600,42
2024;Июнь;СР;40250,80
2024;Июнь;ЧТ;36609,84
2024;Июнь;ПТ;41081,97
2024;Июнь;СБ;44059,52
2024;Июнь;ВС;39182,13
2024;Июль;ПН;38039,86
2024;Июль;ВТ;43650,01
2024;Июль;СР;50859,10
2024;Июль;ЧТ;47337,16
2024;Июль;ПТ;50124,58
2024;Июль;СБ;46847,88
2024;Июль;ВС;36599,44
2024;Август;ПН;41955,91
2024;Август;ВТ;41771,87
2024;Август;СР;43796,09
2024;Август;ЧТ;48231,02
2024;Август;ПТ;45190,85
2024;Август;СБ;42728,66
2024;Август;ВС;35490,29
2024;Сентябрь;ПН;31521,02
2024;Сентябрь;ВТ;37554,51
2024;Сентябрь;СР;31896,50
2024;Сентябрь;ЧТ;26678,74
2024;Сентябрь;ПТ;26264,34
2024;Сентябрь;СБ;31101,38
2024;Сентябрь;ВС;31509,15
2024;Октябрь;ПН;24660,06
2024;Октябрь;ВТ;27099,60
2024;Октябрь;СР;23105,35
2024;Октябрь;ЧТ;20336,54
2024;Октябрь;ПТ;29473,82
2024;Октябрь;СБ;31548,23
2024;Октябрь;ВС;20893,16
2024;Ноябрь;ПН;29055,63
2024;Ноябрь;ВТ;25987,50
2024;Ноябрь;СР;32036,84
2024;Ноябрь;ЧТ;37902,18
2024;Ноябрь;ПТ;29154,12
2024;Ноябрь;СБ;32734,49
2024;Ноябрь;ВС;25461,86
2024;Декабрь;ПН;37455,84
2024;Декабрь;ВТ;50480,73
2024;Декабрь;СР;34322,59
2024;Декабрь;ЧТ;43080,31
2024;Декабрь;ПТ;36410,67
2024;Декабрь;СБ;41768,32
2024;Декабрь;ВС;47476,75
