Месяц;Выручка_без_больших_чеков
Январь;1461169,34
Февраль;1742035,71
Март;2153050,36
Апрель;2107688,03
Май;2473490,81
Июнь;2454868,69
Июль;2337946,25
Август;1933531,57
Сентябрь;1371806,20
Октябрь;1484033,42
Ноябрь;1337603,33
Декабрь;1299412,02
